,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Hausnummer,Bezirk,Ortsteil,Kaltmiete pro m²,Bezirk Abkürzung,Ortsteil Abkürzung
44,FÜNF MORGEN: Weitläufige Dachgeschosswohnung mit Terrasse und Balkon,https://www.immobilienscout24.de/expose/110018279,1573.9,207.58,0.0,1781.48,3540.00,3 von 3,83.03,2,,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,,Dahlem,Zehlendorf,18.955799108755873,StZe,Zehld
45,"FÜNF MORGEN: Sonnige Studio-Wohnung mit 1,5-Zimmern und Loggia",https://www.immobilienscout24.de/expose/112097510,1006.75,158.28,0.0,1165.02,3540.00,2 von 4,63.31,"1,5",,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,,Dahlem,Zehlendorf,15.901911230453324,StZe,Zehld
46,FÜNF MORGEN: Moderne 2-Zimmer-Loftwohnung mit Loggia im Neubau,https://www.immobilienscout24.de/expose/112097631,1043.31,154.93,0.0,1198.23,3540.00,2 von 4,61.97,2,,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,,Dahlem,Zehlendorf,16.83572696466032,StZe,Zehld
47,"FÜNF MORGEN: Großzügige 1,5-Zimmer-Loftwohnung mit Loggia in Bestlage",https://www.immobilienscout24.de/expose/112097595,1068.62,158.28,0.0,1226.89,3540.00,2 von 4,63.31,"1,5",,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,,Dahlem,Zehlendorf,16.879166008529456,StZe,Zehld
48,schöne remise höhe kastanienallee mit 2 terrassen 1 großer kamin u. EBK,https://www.immobilienscout24.de/expose/115337124,2498.0,434.17,0.0,2932.17,7494.00,,135.68,2,1.0,1.0,,True,1918.0,2019.0,Erstbezug nach Sanierung,Zentralheizung,Gas,,Verbrauchsausweis,120.8,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10435 Berlin,,Prenzlauer Berg,Prenzlauer Berg,18.410966981132074,Pank,Prenz
52,lebensräume als kunstwerk : aussergewöhnliche maisonette-whg mit garten,https://www.immobilienscout24.de/expose/115436676,4950.0,580.0,,5530.0,14850.00,,201.0,4,2.0,2.0,,True,2016.0,,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10179 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10179 Berlin,,Mitte,Mitte,24.62686567164179,Mitt,Mitte
59,"sanierte, großzügige 2 Zi.-Citywohnung am Kurfürstendamm",https://www.immobilienscout24.de/expose/115156984,1061.0,163.96,185.0,1409.96,3 Monatskaltmieten,6 von 4,73.16,2,,1.0,True,True,,,,Zentralheizung,Fernwärme,,,,Du Chesne Immobilien GmbH Martin Luther Str 8 10777 Berlin,"10709 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10709 Berlin,,Charlottenburg,Charlottenburg,14.502460360852925,ChWi,Charl
66,Neuer Preis: Großzügige Dachgeschoss-Maisonette in Ku'Damm-Nähe -Spacious apartment close to Ku'Damm,https://www.immobilienscout24.de/expose/113389306,2995.0,500.0,,3495.0,6000.-,5 von 5,170.0,5,3.0,2.0,,True,1905.0,2016.0,Vollständig renoviert,Etagenheizung,Gas,laut Gesetz nicht erforderlich,,,MesseReal Stephanstr. 61 10559 Berlin,"10629 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10629 Berlin,,Charlottenburg,Charlottenburg,17.61764705882353,ChWi,Charl
68,Großzügige Dachgeschosswohnung mit Terrasse und EBK!,https://www.immobilienscout24.de/expose/115580380,1199.25,287.82,0.0,1487.07,3 Nettokaltmieten,,95.94,4,3.0,1.0,,True,1905.0,2020.0,Gepflegt,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,,TRENDCITY GmbH Kurfürstendamm 67 10707 Berlin,"12459 Berlin, Oberschöneweide (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12459 Berlin,,Oberschöneweide,Köpenick,12.5,TrKö,Köpen
69,für 1 jahr: 3 zi-whg zw. kurfürstendamm u. mommsen VH 2. og u. aufzug,https://www.immobilienscout24.de/expose/115473791,3300.0,670.0,0.0,3970.0,9900.00,2 von 4,200.0,3,2.0,1.0,True,True,1900.0,2014.0,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10629 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10629 Berlin,,Charlottenburg,Charlottenburg,16.5,ChWi,Charl
74,schöne 3-zi-terrassen-whg mit großen fenstern EBK u. aufzug erstbezug,https://www.immobilienscout24.de/expose/114294891,2490.0,322.0,0.0,2812.0,7470.00,2 von 5,100.7,3,2.0,1.0,True,True,2019.0,,Erstbezug,Zentralheizung,Gas,,Verbrauchsausweis,120.8,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10435 Berlin,,Prenzlauer Berg,Prenzlauer Berg,24.726911618669313,Pank,Prenz
77,"schöne 2-zi-whg mit 2 terrassen, großen fenstern EBK u. aufzug erstbezug",https://www.immobilienscout24.de/expose/114289429,1998.0,253.0,0.0,2251.0,5994.00,3 von 5,79.05,2,1.0,1.0,True,True,2019.0,,Erstbezug,Zentralheizung,Gas,,Verbrauchsausweis,120.8,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10435 Berlin,,Prenzlauer Berg,Prenzlauer Berg,25.275142314990514,Pank,Prenz
91,Möbliertes Apartment (direkter Wasserlage),https://www.immobilienscout24.de/expose/115250432,600.0,150.0,0.0,750.0,1000,2 von 3,43.0,1,,,,,1980.0,,Erstbezug,Zentralheizung,Erdgas leicht,,,,,"13505 Berlin, Konradshöhe (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13505 Berlin,,Konradshöhe,Reinickendorf,13.953488372093023,Rein,Reind
