,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Hausnummer,Bezirk,Ortsteil,Kaltmiete pro m²,Bezirk Abkürzung,Ortsteil Abkürzung
430,*NEU* WG-geeignetes Dachgeschoss mit 3 Zimmern und Einbauküche am S-Bhf. Köpenick (S3),https://www.immobilienscout24.de/expose/115181231,850.0,80.0,38.0,968.0,3 Nettokaltmieten,4 von 4,75.09,3,3.0,1.0,,True,1907.0,,,Zentralheizung,Erdgas leicht,liegt vor,Verbrauchsausweis,55.0,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"12555 Berlin, Köpenick (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12555 Berlin,,Köpenick,Köpenick,11.319749633772805,TrKö,Köpen
432,*NEU* 3er-WG auf 3 Etagen! 3 Zimmer mit Einbauküche am S-Bhf. Schönholz,https://www.immobilienscout24.de/expose/115181625,1150.0,108.0,100.0,1358.0,3 Nettokaltmieten,0 von 2,77.3,3,3.0,1.0,,True,1905.0,,,Zentralheizung,Erdgas schwer,liegt vor,Bedarfsausweis,,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"13409 Berlin, Reinickendorf (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13409 Berlin,,Reinickendorf,Reinickendorf,14.877102199223804,Rein,Reind
433,*NEU* 3er-WG-geeignetes Dachgeschoss mit Terrasse und Einbauküche in Reinickendorf,https://www.immobilienscout24.de/expose/115181706,1000.0,171.0,,1171.0,3 Nettokaltmieten,5 von 5,105.55,3,3.0,1.0,,True,1900.0,,,Etagenheizung,Gas,liegt vor,Bedarfsausweis,,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"13509 Berlin, Wittenau (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13509 Berlin,,Wittenau,Reinickendorf,9.474182851729038,Rein,Reind
434,*NEU* Große Pärchenwohnung mit Einbauküche am S-Bhf. Adlershof,https://www.immobilienscout24.de/expose/115181786,1050.0,162.0,,1212.0,3 Nettokaltmieten,3 von 4,108.0,2,1.0,1.0,,True,1908.0,,,Etagenheizung,Erdgas leicht,liegt vor,Bedarfsausweis,,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"12489 Berlin, Adlershof (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12489 Berlin,,Adlershof,Alt-Treptow,9.722222222222221,TrKö,Alttr
445,*NEU* WG-geeignete 2-Zimmerwohnung mit Balkon am S-Bhf. Schönholz,https://www.immobilienscout24.de/expose/115166556,870.0,92.0,85.0,1047.0,3 Nettokaltmieten,0 von 4,65.47,2,2.0,1.0,,,1905.0,,,Zentralheizung,Erdgas schwer,liegt vor,Bedarfsausweis,,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"13409 Berlin, Reinickendorf (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13409 Berlin,,Reinickendorf,Reinickendorf,13.288529097296472,Rein,Reind
448,*NEU* WG-geeignete 2-Zimmerwohnung mit Balkon und Einbauküche am U-Bhf. Mierendorffplatz (U7),https://www.immobilienscout24.de/expose/115163411,950.0,125.0,83.0,1158.0,3 Nettokaltmieten,4 von 5,69.51,2,2.0,1.0,,True,1900.0,,,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,184.2,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"10589 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10589 Berlin,,Charlottenburg,Charlottenburg,13.667098259243273,ChWi,Charl
450,*NEU* WG-geeignete 2-Zimmerwohnung mit Balkon in Köpenick!,https://www.immobilienscout24.de/expose/115176659,750.0,92.0,146.0,988.0,3 Nettokaltmieten,2 von 4,76.88,2,2.0,1.0,,True,,,,Zentralheizung,Erdgas leicht,liegt vor,Verbrauchsausweis,196.5,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"12555 Berlin, Köpenick (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12555 Berlin,,Köpenick,Köpenick,9.755463059313216,TrKö,Köpen
451,*NEU* Pärchen-/Singlewohnung mit Einbauküche in Wedding/ am U-Bhf. Nauener Platz (U9),https://www.immobilienscout24.de/expose/115167856,800.0,106.0,59.0,965.0,3 Nettokaltmieten,3 von 5,58.8,2,1.0,1.0,,True,1904.0,,,Zentralheizung,Erdgas leicht,liegt vor,Verbrauchsausweis,116.0,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"13347 Berlin, Wedding (Wedding) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13347 Berlin,,Wedding,Wedding,13.60544217687075,Mitt,Weddg
452,*NEU* Köpenicker Pärchen-/Singlewohnung wartet auf passenden Mieter!,https://www.immobilienscout24.de/expose/115176725,650.0,79.0,125.0,854.0,3 Nettokaltmieten,2 von 4,65.63,2,1.0,1.0,,True,,,,Zentralheizung,Erdgas leicht,liegt vor,Verbrauchsausweis,196.5,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"12555 Berlin, Köpenick (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12555 Berlin,,Köpenick,Köpenick,9.904007313728478,TrKö,Köpen
453,*NEU* Premiumwohnung mit Terrasse und Einbauküche in Friedrichshain/ am U Frankfurter Tor (U5),https://www.immobilienscout24.de/expose/115176177,1500.0,155.0,111.0,1766.0,3 Nettokaltmieten,5 von 5,111.0,3,2.0,1.0,,True,1914.0,,,Zentralheizung,Erdgas leicht,liegt vor,Verbrauchsausweis,114.6,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"10245 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10245 Berlin,,Friedrichshain,Friedrichshain,13.513513513513514,FrKr,Frhai
454,*NEU* Singlewohnung in Wedding/ unweit vom U-Bhf. Seestraße (U6),https://www.immobilienscout24.de/expose/115167013,550.0,78.0,39.0,667.0,3 Nettokaltmieten,3 von 5,39.0,1,1.0,1.0,,,1903.0,,,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,117.1,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"13347 Berlin, Wedding (Wedding) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13347 Berlin,,Wedding,Wedding,14.102564102564102,Mitt,Weddg
456,*NEU* WG-geeignete 2-Zimmerwohnung mit Balkon in Niederschöneweide (Treptow),https://www.immobilienscout24.de/expose/115168099,750.0,77.0,84.0,911.0,3 Nettokaltmieten,2 von 4,64.25,2,2.0,1.0,,True,,,Saniert,Zentralheizung,,liegt zur Besichtigung vor,,,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"12439 Berlin, Niederschöneweide (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12439 Berlin,,Niederschöneweide,Alt-Treptow,11.673151750972762,TrKö,Alttr
468,"Sanierter Altbau in Schmöckwitz in ruhiger, naturnaher Lage, unweit des Yachthafens.",https://www.immobilienscout24.de/expose/111328308,990.0,225.0,0.0,1215.0,2970.00,2 von 3,90.0,3,2.0,1.0,,,1932.0,,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,Hamel Immobilien Kastanienallee 104 13158 Berlin,"12527 Berlin / Schmöckwitz, Schmöckwitz (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12527 Berlin / Schmöckwitz,,Schmöckwitz,Köpenick,11.0,TrKö,Köpen
472,"Schuster aus Preussen - 310 m² große Luxuswohnung mit drei Bädern, 110 m² großem Wohnzimmer und E...",https://www.immobilienscout24.de/expose/112398129,2000.0,650.0,0.0,2650.0,6900 Euro,,310.0,4,3.0,3.0,,True,1900.0,,Gepflegt,Gas-Heizung,Gas,liegt zur Besichtigung vor,,,Schuster aus Preussen KG Bahnhofstraße 1 13125 Berlin,"13125 Berlin, Karow (Weißensee) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13125 Berlin,,Karow,Weißensee,6.451612903225806,Pank,Weißs
474,The very Center of Berlin! Wohnen in Berlin Mitte (WE20),https://www.immobilienscout24.de/expose/113882073,1500.0,150.0,,1650.0,3300.00,2 von 7,54.0,2,,,True,True,1953.0,,Erstbezug nach Sanierung,Fernwärme,,,,,Eichenglobal GmbH Charlottenstraße 18 10117 Berlin,"10243 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10243 Berlin,,Mitte,Mitte,27.77777777777778,Mitt,Mitte
480,Wiener Etagen - Ihre Familienwohnung mit direkter Wasserlage - Bezug ab sofort möglich,https://www.immobilienscout24.de/expose/114036451,1658.0,276.0,0.0,1934.0,3 x Nettokaltmiete,1 von 6,100.0,4,3.0,2.0,True,True,2018.0,,Erstbezug,Zentralheizung,Fernwärme,,Bedarfsausweis,,Grossmann & Berger GmbH Potsdamer Platz 9 10117 Berlin,"10557 Berlin, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10557 Berlin,,Tiergarten,Tiergarten,16.58,Mitt,Tierg
481,Wasserlage im Erstbezug - Traumhafte Familienwohnung in der neuen Europacity,https://www.immobilienscout24.de/expose/114622765,1802.0,281.0,0.0,2083.0,3 x Nettokaltmiete,5 von 6,103.0,4,3.0,2.0,True,True,2018.0,,Erstbezug,Zentralheizung,Fernwärme,,Bedarfsausweis,,Grossmann & Berger GmbH Potsdamer Platz 9 10117 Berlin,"10557 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10557 Berlin,,Mitte,Mitte,17.49514563106796,Mitt,Mitte
487,"Hübsche 1,5 Zimmer-Wohnung im Wedding",https://www.immobilienscout24.de/expose/115512722,665.0,85.0,85.0,835.0,3 Nettomieten,5 von 5,44.2,"1,5",1.0,1.0,True,,1962.0,,Modernisiert,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,166.0,SCHWARZER 5-Sterne-Immobilien Kurfürstendamm 137 137 10711 Berlin,"13347 Berlin, Wedding (Wedding) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13347 Berlin,,Wedding,Wedding,15.04524886877828,Mitt,Weddg
539,hochwertiger Neubau mit Wasserblick und einer Gemeinschaftsdachterrasse,https://www.immobilienscout24.de/expose/115511927,2575.0,350.0,0.0,2925.0,3 Nettokaltmieten,2 von 6,103.0,3,2.0,1.0,True,True,2019.0,,Erstbezug,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,DAHLER & COMPANY Berlin GmbH & Co. KG Kurfürstendamm 196 10707 Berlin,"10245 Berlin / Friedrichshain, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10245 Berlin / Friedrichshain,,Friedrichshain,Friedrichshain,25.0,FrKr,Frhai
541,Traumhaftes Dachgeschoss - Wohngefühl für Anspruchsvolle,https://www.immobilienscout24.de/expose/115513813,1265.0,270.0,0.0,1535.0,3795,,115.0,3,2.0,1.0,,True,1992.0,2011.0,Neuwertig,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,,von Poll Immobilien - Ulf Sobeck Florastraße 1 13187 Berlin,"13129 Berlin, Blankenburg (Weißensee) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13129 Berlin,,Blankenburg,Weißensee,11.0,Pank,Weißs
550,"Helle vier Zimmer Wohnung, Erstbezug nach Dachgeschossausbau",https://www.immobilienscout24.de/expose/115611690,2698.0,400.0,0.0,3098.0,8607,5 von 5,147.25,4,3.0,2.0,True,True,1900.0,2019.0,Erstbezug,Fußbodenheizung,,,,,Fortica Real Estate GmbH,"10717 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10717 Berlin,,Wilmersdorf,Wilmersdorf,18.322580645161292,ChWi,Wilmd
553,Erstbezug mit EBK und Balkon: schöne ruhige 4-Zimmer Wohnung in Wilmersdorf,https://www.immobilienscout24.de/expose/115612865,2396.0,356.0,0.0,2752.0,7575,5 von 5,129.53,4,3.0,2.0,True,True,1900.0,,Erstbezug,Fußbodenheizung,,liegt zur Besichtigung vor,,,Fortica Real Estate GmbH,"10717 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10717 Berlin,,Wilmersdorf,Wilmersdorf,18.497645333127462,ChWi,Wilmd
559,Traumhafte Wohnung mit Terrasse und Park in luftiger Höhe,https://www.immobilienscout24.de/expose/115399417,2100.0,320.0,0.0,2420.0,6300.00,4 von 4,105.0,3,,1.0,True,True,2018.0,,Erstbezug,Fußbodenheizung,Gas,liegt vor,Bedarfsausweis,,Waldmann-Immobilien Roedernstr. 9 12623 Berlin,"10963 Berlin, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10963 Berlin,,Tiergarten,Tiergarten,20.0,Mitt,Tierg
565,Möblierte Wohnung am Carl-Herz-Ufer in Kreuzberg,https://www.immobilienscout24.de/expose/115404163,1800.0,,,1800.0,5000,3 von 5,68.0,2,1.0,1.0,True,True,1920.0,,Vollständig renoviert,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,BLP Investment GmbH Reichsstrasse 12 14052 Berlin,"10961 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10961 Berlin,,Kreuzberg,Kreuzberg,26.470588235294116,FrKr,Kreuz
572,Erstbezug: barrierefrei mieten im Parkquartier,https://www.immobilienscout24.de/expose/115508979,1100.0,250.0,,1350.0,3 NKM,1,82.0,3,2.0,1.0,,,2019.0,,,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,Engel & Völkers Frohnau-Köpenick GmbH Bahnhofstraße 52 12305 Berlin,"12524 Berlin-Altglienicke, Altglienicke (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12524 Berlin-Altglienicke,,Altglienicke,Alt-Treptow,13.414634146341463,TrKö,Alttr
578,Schöne 2 Zimmer-Wohnung in Spreenähe Charlottenburg,https://www.immobilienscout24.de/expose/115190884,850.0,75.0,90.0,1015.0,3.00,4,60.0,2,1.0,1.0,True,,,,Gepflegt,,Gas,liegt vor,Bedarfsausweis,,Proventus Consult GmbH Mendelssohnstr. 27 10405 Berlin,"10587 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10587 Berlin,,Charlottenburg,Charlottenburg,14.166666666666666,ChWi,Charl
582,Moderne 4-Zimmer-Maisonette-Wohnung mit Balkon und zwei Hobbyräumen 1. OG und DG,https://www.immobilienscout24.de/expose/115221319,1300.0,200.0,160.0,1660.0,3 Monatskaltmieten,1,148.73,4,,1.0,,,1980.0,,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,terraplan Immobilien Edeltraud Philipp Zeltinger Platz 4 13465 Berlin,"13465 Berlin, Frohnau (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13465 Berlin,,Frohnau,Reinickendorf,8.740671014590198,Rein,Reind
621,"möbliertes Apartment, zentral gelegen...",https://www.immobilienscout24.de/expose/114833978,699.0,182.0,0.0,881.0,2097.00,1 von 4,26.0,1,,1.0,,,2019.0,,Erstbezug,Fernwärme,,liegt vor,Bedarfsausweis,,Profi Select Coriolanus GmbH 10777 Berlin,"12103 Berlin, Tempelhof (Tempelhof) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12103 Berlin,,Tempelhof,Tempelhof,26.884615384615383,TSch,Temp
639,Einzigartige Lage mit Blick auf den Potsdamer Platz!,https://www.immobilienscout24.de/expose/114068835,1390.0,295.0,,1685.0,3 x Nettokaltmieten,7 von 9,73.78,2,1.0,1.0,True,True,1995.0,,Saniert,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,DAHLER & COMPANY Berlin GmbH & Co. KG Kurfürstendamm 196 10707 Berlin,"10117 Berlin / Mitte, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10117 Berlin / Mitte,,Mitte,Mitte,18.839793982108972,Mitt,Mitte
640,2-Zimmer-Appartement - direkt am Leipziger Platz,https://www.immobilienscout24.de/expose/114068838,1110.0,240.0,,1350.0,3 x Nettokaltmieten,7 von 9,60.09,2,1.0,1.0,True,True,1995.0,,Saniert,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,DAHLER & COMPANY Berlin GmbH & Co. KG Kurfürstendamm 196 10707 Berlin,"10117 Berlin / Mitte, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10117 Berlin / Mitte,,Mitte,Mitte,18.472291562656014,Mitt,Mitte
643,Furnished! Möblierte Luxuswohnung in Stadtvilla in grüner Lage nahe Fauler See,https://www.immobilienscout24.de/expose/114285955,868.0,130.0,0.0,998.0,2604.00,1 von 3,65.54,2,1.0,1.0,,True,1996.0,2007.0,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,IVBWEISS Immobilien Charlottenburger Straße 134a 13086 Berlin,"13051 Berlin, Weißensee (Weißensee) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13051 Berlin,,Weißensee,Weißensee,13.243820567592309,Pank,Weißs
653,"MÖBLIERTER TOP-ALTBAU NAHE SCHLOSSPARK UND SPREE! 2.OG! DUSCHBAD! LAMINAT!! RUHIGER, HELLER INNEN...",https://www.immobilienscout24.de/expose/114505624,600.0,80.0,,680.0,3 KM,2,35.0,1,,1.0,,,1905.0,,Gepflegt,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,,HIHC HORVAT REAL ESTATE GMBH Schlüterstraße 27 10629 Berlin,"10589 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10589 Berlin,,Charlottenburg,Charlottenburg,17.142857142857142,ChWi,Charl
661,Exklusive Dachgeschoss Wohnung +++ ERSTBEZUG +++ in Lichtenrade mit Terrasse,https://www.immobilienscout24.de/expose/112485004,1249.0,177.0,73.0,1499.0,5247.00,4 von 4,88.08,3,2.0,2.0,,True,2019.0,2019.0,Erstbezug,Zentralheizung,Öl,liegt zur Besichtigung vor,,,Real Estate | Ventures UG (haftungsbeschränkt) Behrenstr. 28 10117 Berlin,"12305 Berlin, Lichtenrade (Tempelhof) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12305 Berlin,,Lichtenrade,Tempelhof,14.180290644868302,TSch,Temp
667,"stilvoll möblierte Apartments, zentral und nahe der Kastanienallee",https://www.immobilienscout24.de/expose/111720035,4000.0,500.0,0.0,4500.0,3,1,125.0,5,3.0,,True,True,2014.0,,Neuwertig,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,,Florin Immobilien Berner Straße 51 12205 Berlin,"10119 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10119 Berlin,,Prenzlauer Berg,Prenzlauer Berg,32.0,Pank,Prenz
669,The very Center of Berlin! Wohnen in Berlin Mitte (WE20),https://www.immobilienscout24.de/expose/112777414,1300.0,,,1300.0,3300.00,2 von 7,54.0,2,,,True,True,1953.0,,Erstbezug nach Sanierung,Fernwärme,,,,,Eichenglobal GmbH Charlottenstraße 18 10117 Berlin,"10243 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10243 Berlin,,Mitte,Mitte,24.074074074074073,Mitt,Mitte
670,smart home mit Terrasse am Müggelsee,https://www.immobilienscout24.de/expose/113544671,2135.0,308.0,0.0,2443.0,3 Kaltmieten,1 von 4,123.0,2,,,,True,2019.0,2019.0,Neuwertig,Zentralheizung,,liegt zur Besichtigung vor,,,KI Köpenicker Immobiliengesellschaft mbH Lindenstrasse 32 12555 Berlin,"12587 Berlin, Friedrichshagen (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12587 Berlin,,Friedrichshagen,Köpenick,17.357723577235774,TrKö,Köpen
673,Exklusive Wohnung mit Terrasse im Herzen von Berlin,https://www.immobilienscout24.de/expose/112815843,2050.0,430.0,0.0,2580.0,2 Kaltmieten,4 von 10,105.4,3,2.0,2.0,True,True,2018.0,2019.0,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,LÖWE Premium Immobilien GmbH Potsdamer Str. 4 10785 Berlin,"10785 Berlin, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10785 Berlin,,Tiergarten,Tiergarten,19.449715370018975,Mitt,Tierg
681,"Hochwertig sanierte, modern möblierte 2,5-Zi.-Wohnung mit eigenem Garten in ruhigem Reinickendorf",https://www.immobilienscout24.de/expose/115402870,995.0,90.0,,1085.0,2985,0 von 3,64.0,"2,5",2.0,1.0,,True,1933.0,,Saniert,Etagenheizung,Gas,laut Gesetz nicht erforderlich,,,Inseriert auf ohne-makler.net,"13403 Berlin, Reinickendorf (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13403 Berlin,,Reinickendorf,Reinickendorf,15.546875,Rein,Reind
682,Sehr hell WG geeignet voll möbliert Nähe Bergmann Kiez 2 Zimmer,https://www.immobilienscout24.de/expose/115506946,990.0,160.0,150.0,1300.0,3500,3,55.0,2,1.0,1.0,,True,1882.0,,Saniert,Etagenheizung,Gas,liegt zur Besichtigung vor,,,Inseriert auf ohne-makler.net,"10961 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10961 Berlin,,Kreuzberg,Kreuzberg,18.0,FrKr,Kreuz
694,3-Zimmer Altbauwohnung in Berlin Wilmersdorf Nähe Bundesplatz,https://www.immobilienscout24.de/expose/115516511,1440.0,270.0,0.0,1710.0,4320,4,92.02,3,,1.0,True,,1930.0,,Saniert,Zentralheizung,,laut Gesetz nicht erforderlich,,,Inseriert auf ohne-makler.net,"10715 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10715 Berlin,,Wilmersdorf,Wilmersdorf,15.648772006085634,ChWi,Wilmd
700,FÜNF MORGEN: Weitläufige 2-Zimmer-Loftwohnung mit Dachterrasse im grünen Dahlem,https://www.immobilienscout24.de/expose/109788575,1922.26,257.38,0.0,2179.64,1900,4 von 4,102.95,2,,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,,Dahlem,Zehlendorf,18.67178241864983,StZe,Zehld
701,"FÜNF MORGEN: Lichtdurchflutete 1,5-Zimmer-Loftwohnung mit Loggia",https://www.immobilienscout24.de/expose/109788582,1066.94,158.27,0.0,1225.21,1900,2 von 4,63.31,"1,5",,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,,Dahlem,Zehlendorf,16.852629916284947,StZe,Zehld
702,"High END IN ""HIGH WEST""",https://www.immobilienscout24.de/expose/115236570,1733.13,247.59,0.0,1980.72,1900,6,70.74,2,,,,True,2019.0,,Erstbezug,Fußbodenheizung,Fernwärme,,Bedarfsausweis,,selectberlin residential GmbH Bleibtreustr. 15/16 10623 Berlin,"10711 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10711 Berlin,,Wilmersdorf,Wilmersdorf,24.500000000000004,ChWi,Wilmd
710,Erstbezug - heller und moderner Neubau im Dreiländereck Treptow/Kreuzberg/Neukölln,https://www.immobilienscout24.de/expose/115389483,1769.0,360.0,0.0,2129.0,5250,4 von 6,127.0,4,3.0,2.0,True,True,2019.0,,Erstbezug,,Fernwärme,liegt vor,Bedarfsausweis,,Inseriert auf ohne-makler.net,"12435 Berlin, Treptow (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12435 Berlin,,Treptow,Alt-Treptow,13.929133858267717,TrKö,Alttr
711,"3 Zimmer Whg. in Berlin - Charlottenburg, Sensburger Allee, zu vermieten",https://www.immobilienscout24.de/expose/115515661,1425.0,300.0,0.0,1725.0,4275,2 von 2,125.0,3,2.0,1.0,,True,1967.0,,Saniert,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,,Inseriert auf ohne-makler.net,"14055 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14055 Berlin,,Charlottenburg,Charlottenburg,11.4,ChWi,Charl
714,3 Zimmer Wohnung komplett möbliert,https://www.immobilienscout24.de/expose/115477349,1450.0,180.0,120.0,1750.0,1450,5 von 6,90.0,3,2.0,1.0,True,True,1988.0,,Gepflegt,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,Inseriert auf ohne-makler.net,"10117 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10117 Berlin,,Mitte,Mitte,16.11111111111111,Mitt,Mitte
715,Neubau - Exklusive Penthousewohnung mit zwei sonnigen Dachterrerrassen und Weitblick über Berlin,https://www.immobilienscout24.de/expose/115387181,2990.0,500.0,0.0,3490.0,3 Nettokaltmieten,5,172.0,4,,2.0,True,,2020.0,2020.0,Erstbezug,Wärmepumpe,,liegt zur Besichtigung vor,,,Houses & Homes - H & H Immobilien GmbH Benkertstr. 22 14467 Potsdam,"12161 Berlin, Friedenau (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12161 Berlin,,Friedenau,Schöneberg,17.38372093023256,TSch,Schön
742,"Klassischer Altbau: Möblierte 3-Zimmer-Wohnung, hell und ruhig, langfristig zu vermieten",https://www.immobilienscout24.de/expose/115429047,1100.0,280.0,0.0,1380.0,3300.00,3 von 5,82.0,3,2.0,1.0,,True,1900.0,,Gepflegt,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,Birke-Immobilien Zähringerstr. 8 10707 Berlin,"10779 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10779 Berlin,,Schöneberg,Schöneberg,13.414634146341463,TSch,Schön
745,"Lankwitz: 1a Top Moderne 4-Zi.-Komfort-Whg. in Stadtvilla, 138 m², Terrasse",https://www.immobilienscout24.de/expose/84263333,1929.0,244.0,157.0,2330.0,5785.00,0 von 2,137.76,4,3.0,2.0,,True,2012.0,,Neuwertig,Blockheizkraftwerke,,,,,Profund KG Württembergallee 25 14052 Berlin,"12249 Berlin, Lankwitz (Steglitz) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12249 Berlin,,Lankwitz,Steglitz,14.00261324041812,StZe,Stegl
