,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Kiez,Hausnummer,Ortsteil,Kaltmiete pro m²,straße,bezirk,gebietsstand,hausnummer,buchstabe,wohnlage_einstufung,lage_im_stadtgebiet,ortsteil
10,Ruhig gelegene 3-Zimmer-Wohnung mit Wannenbad und Terrasse,https://www.immobilienscout24.de/expose/115342888,980.0,245.0,0.0,1225.0,2940,,79.77,3,2.0,1.0,True,True,2019.0,,,Fußbodenheizung,,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 78, 13127 Berlin, Französisch Buchholz (Pankow)",Nantesstraße,13127 Berlin,Französisch Buchholz (Pankow),78,Pankow,12.285320295850571,Nantesstraße,Pank,O,78,U,mittel,D,Pankow
11,Ruhig gelegene 3-Zimmer-Wohnung mit Wannenbad und Terrasse,https://www.immobilienscout24.de/expose/115342888,980.0,245.0,0.0,1225.0,2940,,79.77,3,2.0,1.0,True,True,2019.0,,,Fußbodenheizung,,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 78, 13127 Berlin, Französisch Buchholz (Pankow)",Nantesstraße,13127 Berlin,Französisch Buchholz (Pankow),78,Pankow,12.285320295850571,Nantesstraße,Pank,O,78,G,mittel,D,Pankow
12,Erstbezug: moderne 2-Zimmer-Wohnung mit großem Wannenbad und zwei Dachterrassen!,https://www.immobilienscout24.de/expose/115344444,990.0,225.0,0.0,1215.0,2970,4 von 4,74.68,2,1.0,1.0,True,True,2019.0,,,Fußbodenheizung,,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 78, 13127 Berlin, Französisch Buchholz (Pankow)",Nantesstraße,13127 Berlin,Französisch Buchholz (Pankow),78,Pankow,13.256561328334225,Nantesstraße,Pank,O,78,U,mittel,D,Pankow
13,Erstbezug: moderne 2-Zimmer-Wohnung mit großem Wannenbad und zwei Dachterrassen!,https://www.immobilienscout24.de/expose/115344444,990.0,225.0,0.0,1215.0,2970,4 von 4,74.68,2,1.0,1.0,True,True,2019.0,,,Fußbodenheizung,,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 78, 13127 Berlin, Französisch Buchholz (Pankow)",Nantesstraße,13127 Berlin,Französisch Buchholz (Pankow),78,Pankow,13.256561328334225,Nantesstraße,Pank,O,78,G,mittel,D,Pankow
14,Erstbezug ab August 2020: moderne 2-Zimmer-Wohnung in Berlin-Pankow mit Balkon im 1. OG,https://www.immobilienscout24.de/expose/115545018,850.0,180.0,0.0,1030.0,2550,1 von 3,59.57,2,1.0,1.0,,True,2019.0,,,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nesselweg 17, 13158 Berlin, Rosenthal (Pankow)",Nesselweg,13158 Berlin,Rosenthal (Pankow),17,Pankow,14.268927312405573,Nesselweg,Pank,O,17,F,mittel,D,Pankow
15,Single- oder Pärchentraum in Berlin-Pankow mit großer Terrasse,https://www.immobilienscout24.de/expose/115545180,880.0,200.0,0.0,1080.0,2640,,66.08,2,1.0,1.0,,True,2019.0,,,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nesselweg 17, 13158 Berlin, Rosenthal (Pankow)",Nesselweg,13158 Berlin,Rosenthal (Pankow),17,Pankow,13.317191283292978,Nesselweg,Pank,O,17,F,mittel,D,Pankow
16,"Elegante 4-Zimmer-Wohnung mit zwei Bädern, Terrasse und Abstellraum",https://www.immobilienscout24.de/expose/115546116,1470.0,350.0,0.0,1820.0,4410,,115.82,4,3.0,1.0,,True,2019.0,,,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nesselweg 17, 13158 Berlin, Rosenthal (Pankow)",Nesselweg,13158 Berlin,Rosenthal (Pankow),17,Pankow,12.692108444137455,Nesselweg,Pank,O,17,F,mittel,D,Pankow
17,Ab Sommer 2020: Gemütliche 3-Zimmer-Wohnung im Dachgeschoss mit Terrasse,https://www.immobilienscout24.de/expose/115545735,1130.0,230.0,0.0,1360.0,3390,3 von 3,76.48,3,2.0,1.0,,True,2019.0,,,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nesselweg 17, 13158 Berlin, Rosenthal (Pankow)",Nesselweg,13158 Berlin,Rosenthal (Pankow),17,Pankow,14.77510460251046,Nesselweg,Pank,O,17,F,mittel,D,Pankow
18,"Ihr neues Zuhause für die ganze Familie: 5 Zimmer mit zwei Bädern, Gäste-WC, zwei Balkonen und PKW-S",https://www.immobilienscout24.de/expose/115546766,1640.0,370.0,0.0,2010.0,4920,1 von 3,122.92,5,4.0,2.0,,True,2019.0,,,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nesselweg 17, 13158 Berlin, Rosenthal (Pankow)",Nesselweg,13158 Berlin,Rosenthal (Pankow),17,Pankow,13.342011064106735,Nesselweg,Pank,O,17,F,mittel,D,Pankow
19,Ihr Wohntraum in Pankow-Rosenthal: 5 Zimmer mit moderner Einbauküche und mehr...,https://www.immobilienscout24.de/expose/115547031,1610.0,370.0,0.0,1980.0,4830,1 von 3,122.92,5,4.0,2.0,,True,2019.0,,,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nesselweg 17, 13158 Berlin, Rosenthal (Pankow)",Nesselweg,13158 Berlin,Rosenthal (Pankow),17,Pankow,13.097949886104784,Nesselweg,Pank,O,17,F,mittel,D,Pankow
