,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Kiez,Hausnummer,Ortsteil,Kaltmiete pro m²,straße,bezirk,gebietsstand,hausnummer,buchstabe,wohnlage_einstufung,lage_im_stadtgebiet,ortsteil
106,Ruhige 3-Zimmer-Maisonette-Wohnung in Berlin´s Scheunenviertel (Erstbezug),https://www.immobilienscout24.de/expose/115576015,2858.62,465.0,0.0,3323.62,3 x Kaltmiete,5 von 5,154.52,3,1.0,2.0,True,,1892.0,2019.0,Saniert,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,GSW Gesellschaft für Siedlungs- und Wohnungsbau Baden-Württemberg mbH - Bauträgerunternehmen des VdK Lindenring 15 06618 Naumburg,"Linienstraße 131, 10115 Berlin, Mitte (Mitte)",Linienstraße,10115 Berlin,Mitte (Mitte),131,Mitte,18.499999999999996,Linienstraße,Mitt,O,131,F,gut *,Z,Mitte
107,Ruhige 2-Zimmer-Wohnung in Berlin´s Scheunenviertel (Erstbezug),https://www.immobilienscout24.de/expose/115575994,1358.3,175.0,0.0,1533.3,3x Kaltmiete,5 von 5,57.8,2,1.0,1.0,True,,1892.0,2019.0,Saniert,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,GSW Gesellschaft für Siedlungs- und Wohnungsbau Baden-Württemberg mbH - Bauträgerunternehmen des VdK Lindenring 15 06618 Naumburg,"Linienstraße 131, 10115 Berlin, Mitte (Mitte)",Linienstraße,10115 Berlin,Mitte (Mitte),131,Mitte,23.5,Linienstraße,Mitt,O,131,F,gut *,Z,Mitte
108,Ruhige 2-Zimmer-Wohnung in Berlin´s Scheunenviertel (Erstbezug),https://www.immobilienscout24.de/expose/115576025,988.43,135.0,0.0,1123.43,3 x Kaltmiete,4 von 5,43.93,2,1.0,1.0,,,1892.0,2019.0,Saniert,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,GSW Gesellschaft für Siedlungs- und Wohnungsbau Baden-Württemberg mbH - Bauträgerunternehmen des VdK Lindenring 15 06618 Naumburg,"Linienstraße 131, 10115 Berlin, Mitte (Mitte)",Linienstraße,10115 Berlin,Mitte (Mitte),131,Mitte,22.50011381743683,Linienstraße,Mitt,O,131,F,gut *,Z,Mitte
109,Ruhige 2-Zimmer-Wohnung in Berlin´s Scheunenviertel (Erstbezug),https://www.immobilienscout24.de/expose/115576030,1323.42,175.0,0.0,1498.42,3 x Kaltmiete,4 von 5,57.54,2,1.0,1.0,True,,1892.0,2019.0,Saniert,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,GSW Gesellschaft für Siedlungs- und Wohnungsbau Baden-Württemberg mbH - Bauträgerunternehmen des VdK Lindenring 15 06618 Naumburg,"Linienstraße 131, 10115 Berlin, Mitte (Mitte)",Linienstraße,10115 Berlin,Mitte (Mitte),131,Mitte,23.0,Linienstraße,Mitt,O,131,F,gut *,Z,Mitte
110,Ruhige 2-Zimmer-Wohnung in Berlin´s Scheunenviertel (Erstbezug),https://www.immobilienscout24.de/expose/115576038,1069.27,140.0,0.0,1209.27,3 x Kaltmiete,4 von 5,46.49,2,1.0,1.0,True,,1892.0,2019.0,Saniert,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,GSW Gesellschaft für Siedlungs- und Wohnungsbau Baden-Württemberg mbH - Bauträgerunternehmen des VdK Lindenring 15 06618 Naumburg,"Linienstraße 131, 10115 Berlin, Mitte (Mitte)",Linienstraße,10115 Berlin,Mitte (Mitte),131,Mitte,23.0,Linienstraße,Mitt,O,131,F,gut *,Z,Mitte
111,Schöne 2-Zimmer-Wohnung in Pankow mit WBS,https://www.immobilienscout24.de/expose/89782216,550.0,93.0,77.0,720.0,1650.00,2 von 4,61.04,2,1.0,1.0,True,True,1997.0,,Gepflegt,Fernwärme,Erdgas schwer,liegt vor,Verbrauchsausweis,,Bardt + Bardt Hausverwaltung GmbH Goethestr. 10 b 12207 Berlin,"Eschengraben 15, 13189 Berlin, Pankow (Pankow)",Eschengraben,13189 Berlin,Pankow (Pankow),15,Pankow,9.01048492791612,Eschengraben,Pank,O,15,U,mittel,Z,Pankow
112,Schöne 2-Zimmer-Wohnung in Pankow mit WBS,https://www.immobilienscout24.de/expose/89782216,550.0,93.0,77.0,720.0,1650.00,2 von 4,61.04,2,1.0,1.0,True,True,1997.0,,Gepflegt,Fernwärme,Erdgas schwer,liegt vor,Verbrauchsausweis,,Bardt + Bardt Hausverwaltung GmbH Goethestr. 10 b 12207 Berlin,"Eschengraben 15, 13189 Berlin, Pankow (Pankow)",Eschengraben,13189 Berlin,Pankow (Pankow),15,Pankow,9.01048492791612,Eschengraben,Pank,O,15,G,mittel,Z,Pankow
113,Umfassend modernisierte Wohnung mit kleiner Kammer,https://www.immobilienscout24.de/expose/114777675,949.0,140.0,71.0,1160.0,2847,3 von 4,72.28,3,,,,,1933.0,,,Fernwärme,Gas,liegt vor,Verbrauchsausweis,109.2,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Romanshorner Weg 28, 13407 Berlin, Reinickendorf (Reinickendorf)",Romanshorner Weg,13407 Berlin,Reinickendorf (Reinickendorf),28,Reinickendorf,13.129496402877697,Romanshorner Weg,Rein,W,28,U,einfach *,D,Reinickendorf
114,Umfassend modernisierte Wohnung mit kleiner Kammer,https://www.immobilienscout24.de/expose/114777675,949.0,140.0,71.0,1160.0,2847,3 von 4,72.28,3,,,,,1933.0,,,Fernwärme,Gas,liegt vor,Verbrauchsausweis,109.2,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Romanshorner Weg 28, 13407 Berlin, Reinickendorf (Reinickendorf)",Romanshorner Weg,13407 Berlin,Reinickendorf (Reinickendorf),28,Reinickendorf,13.129496402877697,Romanshorner Weg,Rein,W,28,G,einfach *,D,Reinickendorf
115,Schöne helle 2-Zimmerwohnung in gepflegtem Haus. Zeitmietvertrag. Kontakt nur per MAIL!!,https://www.immobilienscout24.de/expose/115293666,549.33,79.0,54.0,682.33,3 x Kaltmiete,3 von 3,59.43,2,1.0,1.0,,,1900.0,2005.0,Vollständig renoviert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,169.6,Fritzsche Hausverwaltung IWF GmbH Kamillenstraße 62 12203 Berlin,"Scharnweberstraße 113, 13405 Berlin, Reinickendorf (Reinickendorf)",Scharnweberstraße,13405 Berlin,Reinickendorf (Reinickendorf),113,Reinickendorf,9.243311458859162,Scharnweberstraße,Rein,W,113,F,einfach *,Z,Reinickendorf
116,Schönes Wohnhaus nahe Ikea - Top Etagenwohnung,https://www.immobilienscout24.de/expose/83976863,744.0,98.0,,842.0,2232.00,4 von 4,62.0,2,,1.0,,,1936.0,2019.0,Erstbezug nach Sanierung,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,131.0,Michael Mitulla Hausverwaltung Am Pichelssee 26 13595 Berlin,"Heidereuterstraße 18, 13597 Berlin, Spandau (Spandau)",Heidereuterstraße,13597 Berlin,Spandau (Spandau),18,Spandau,12.0,Heidereuterstraße,Span,W,18,F,einfach,D,Spandau
117,süße Singlewohnung am Lutherplatz in Spandau,https://www.immobilienscout24.de/expose/114429860,415.07,71.0,,486.07,1245.21,4,38.0,1,,,,,1900.0,,Gepflegt,Elektro-Heizung,Strom,liegt vor,Verbrauchsausweis,96.7,EB IMMOBILIENMANAGEMENT GmbH Kaiserin-Augusta-Allee 113 10553 Berlin,"Lynarstraße 13, 13585 Berlin, Spandau (Spandau)",Lynarstraße,13585 Berlin,Spandau (Spandau),13,Spandau,10.922894736842105,Lynarstraße,Span,W,13,F,einfach,D,Spandau
118,Dachgeschosswohnung in Altstadt-Spandau!,https://www.immobilienscout24.de/expose/115573874,720.0,78.0,,798.0,2160,3 von 3,60.0,2,,,,True,,2020.0,,,,,,,ALEPA Real Estate GmbH Tauentzienstraße 6 10789 Berlin,"Havelstraße 18, 13597 Berlin, Spandau (Spandau)",Havelstraße,13597 Berlin,Spandau (Spandau),18,Spandau,12.0,Havelstraße,Span,W,18,F,einfach,Z,Spandau
119,Bezaubernde 2-Zimmerwohnungen in ruhiger Lage – Erstbezug!,https://www.immobilienscout24.de/expose/115441986,1100.0,185.0,0.0,1285.0,3450,2 von 4,62.0,2,1.0,1.0,,True,1903.0,2019.0,Neuwertig,,Gas,liegt vor,Bedarfsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Brehmestraße 19, 13187 Berlin, Pankow (Pankow)",Brehmestraße,13187 Berlin,Pankow (Pankow),19,Pankow,17.741935483870968,Brehmestraße,Pank,O,19,F,mittel*,Z,Pankow
120,Charmante Wohnungen in beliebter Lage – Erstbezug!,https://www.immobilienscout24.de/expose/114570391,800.0,130.0,0.0,930.0,Kaution: 3600.00,,44.0,1,1.0,1.0,,True,1903.0,2019.0,Neuwertig,Gas-Heizung,Gas,,Bedarfsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Brehmestraße 19, 13187 Berlin, Pankow (Pankow)",Brehmestraße,13187 Berlin,Pankow (Pankow),19,Pankow,18.181818181818183,Brehmestraße,Pank,O,19,F,mittel*,Z,Pankow
121,"modernisierte 1 Zimmer Wohnung mit Einbauküche, Duschbad und Waschmaschine",https://www.immobilienscout24.de/expose/103592128,811.55,54.0,44.45,910.0,243465,,33.55,1,,,True,True,1986.0,,,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Neue Roßstraße 20, 10179 Berlin, Mitte (Mitte)",Neue Roßstraße,10179 Berlin,Mitte (Mitte),20,Mitte,24.189269746646797,Neue Roßstraße,Mitt,O,20,F,gut *,Z,Mitte
122,Modernisierte Dachgeschosswohnung mit Einbauküche,https://www.immobilienscout24.de/expose/115291307,2724.64,180.0,155.36,3060.0,817392,8 von 9,127.66,4,,,True,True,1986.0,,,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Neue Roßstraße 20, 10179 Berlin, Mitte (Mitte)",Neue Roßstraße,10179 Berlin,Mitte (Mitte),20,Mitte,21.342942190192698,Neue Roßstraße,Mitt,O,20,F,gut *,Z,Mitte
123,Lebensqualität pur – Welcome to the “Upper Eastside Berlin”!,https://www.immobilienscout24.de/expose/115425256,4415.0,1290.0,0.0,5705.0,7500.00,,260.0,3,2.0,2.0,True,True,2011.0,,Neuwertig,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Unter den Linden 16, 10117 Berlin, Mitte (Mitte)",Unter den Linden,10117 Berlin,Mitte (Mitte),16,Mitte,16.98076923076923,Unter den Linden,Mitt,O,16,U,gut *,Z,Mitte
124,Lebensqualität pur – Welcome to the “Upper Eastside Berlin”!,https://www.immobilienscout24.de/expose/115425256,4415.0,1290.0,0.0,5705.0,7500.00,,260.0,3,2.0,2.0,True,True,2011.0,,Neuwertig,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Unter den Linden 16, 10117 Berlin, Mitte (Mitte)",Unter den Linden,10117 Berlin,Mitte (Mitte),16,Mitte,16.98076923076923,Unter den Linden,Mitt,O,16,G,gut *,Z,Mitte
125,Elegant möblierte Altbau-Wohnung in Mitte,https://www.immobilienscout24.de/expose/114998310,1200.0,500.0,0.0,1700.0,3600,0,80.0,2,1.0,1.0,,True,,2015.0,,,,,,,Home HT GmbH,"Torstraße 220, 10115 Berlin, Mitte (Mitte)",Torstraße,10115 Berlin,Mitte (Mitte),220,Mitte,15.0,Torstraße,Mitt,O,220,G,mittel *,Z,Mitte
126,Elegant möblierte Altbau-Wohnung in Mitte,https://www.immobilienscout24.de/expose/114998310,1200.0,500.0,0.0,1700.0,3600,0,80.0,2,1.0,1.0,,True,,2015.0,,,,,,,Home HT GmbH,"Torstraße 220, 10115 Berlin, Mitte (Mitte)",Torstraße,10115 Berlin,Mitte (Mitte),220,Mitte,15.0,Torstraße,Mitt,O,220,U,mittel *,Z,Mitte
127,Charmante 2-Zimmer-Wohnung im Altbau,https://www.immobilienscout24.de/expose/114998300,1220.0,267.0,0.0,1472.0,3660,0 von 5,72.0,2,1.0,1.0,,True,1900.0,,,,,,,,Home HT GmbH,"Bergstraße 70, 10115 Berlin, Mitte (Mitte)",Bergstraße,10115 Berlin,Mitte (Mitte),70,Mitte,16.944444444444443,Bergstraße,Mitt,O,70,F,gut,Z,Mitte
128,Repräsentatives Wohnen am Gendarmenmarkt!,https://www.immobilienscout24.de/expose/114024892,3850.0,625.0,0.0,4475.0,Kaution: 11550.00,6 von 6,209.0,4,3.0,3.0,True,True,2006.0,,Neuwertig,Zentralheizung,Fernwärme,,Bedarfsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Markgrafenstraße 42, 10117 Berlin, Mitte (Mitte)",Markgrafenstraße,10117 Berlin,Mitte (Mitte),42,Mitte,18.42105263157895,Markgrafenstraße,Mitt,O,42,F,gut *,Z,Mitte
129,Residieren im eleganten „Haus Bellevue“!,https://www.immobilienscout24.de/expose/114041689,1500.0,500.0,0.0,2000.0,4500.00,6 von 1,98.0,3,1.0,2.0,True,True,2003.0,,,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Neustädtische Kirchstraße 7, 10117 Berlin, Mitte (Mitte)",Neustädtische Kirchstraße,10117 Berlin,Mitte (Mitte),7,Mitte,15.306122448979592,Neustädtische Kirchstraße,Mitt,O,7,F,gut *,Z,Mitte
130,Charmante Altbauwohnung in Top-Mitte Lage!,https://www.immobilienscout24.de/expose/114349699,2700.0,270.0,0.0,2970.0,Kaution: 8700.00,2 von 4,160.0,4,3.0,2.0,,True,1870.0,2002.0,Neuwertig,Zentralheizung,,,Verbrauchsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Marienstraße 22, 10117 Berlin, Mitte (Mitte)",Marienstraße,10117 Berlin,Mitte (Mitte),22,Mitte,16.875,Marienstraße,Mitt,O,22,F,gut,Z,Mitte
131,Terrassenwohnung im Herzen von Berlin ab sofort bezugsfrei!,https://www.immobilienscout24.de/expose/111895372,1348.02,317.79,0.0,1665.81,3 Nettokaltmieten,5,74.89,2,1.0,1.0,True,True,2015.0,,Neuwertig,Fußbodenheizung,Fernwärme,,,,HGHI Berlin Mitte Wohnungsvermittlungsgesellschaft mbH Jägerstraße 49/50 10117 Berlin,"Leipziger Straße 130, 10117 Berlin, Mitte (Mitte)",Leipziger Straße,10117 Berlin,Mitte (Mitte),130,Mitte,18.0,Leipziger Straße,Mitt,O,130,F,gut *,Z,Mitte
132,Shared Office Space in Top Lage!,https://www.immobilienscout24.de/expose/101773333,1450.0,400.0,0.0,1850.0,Kaution: 4350.00,0,109.0,1,,,,True,2009.0,,Neuwertig,Zentralheizung,Fernwärme,,,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Oberwallstraße 14, 10117 Berlin, Mitte (Mitte)",Oberwallstraße,10117 Berlin,Mitte (Mitte),14,Mitte,13.302752293577981,Oberwallstraße,Mitt,O,14,F,gut,Z,Mitte
133,Hoch hinaus – Residieren über den Dächern Berlins!,https://www.immobilienscout24.de/expose/110906671,1950.0,370.0,0.0,2320.0,Kaution: 5850.00,6 von 7,95.0,2,1.0,1.0,True,True,2005.0,,,Zentralheizung,Fernwärme,,Bedarfsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Leipziger Straße 128, 10117 Berlin, Mitte (Mitte)",Leipziger Straße,10117 Berlin,Mitte (Mitte),128,Mitte,20.526315789473685,Leipziger Straße,Mitt,O,128,F,gut *,Z,Mitte
134,Das “Upper Eastside Berlin” – Exklusives Wohnen am Puls des Lebens!,https://www.immobilienscout24.de/expose/112814914,4835.0,2150.0,0.0,6985.0,Kaution: 3 Monatsmieten,0 von 7,310.0,5,3.0,2.0,True,True,2010.0,2018.0,Neuwertig,Zentralheizung,,,Bedarfsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Friedrichstraße 88/89, 10117 Berlin, Mitte (Mitte)",Friedrichstraße,10117 Berlin,Mitte (Mitte),88,Mitte,15.596774193548388,Friedrichstraße,Mitt,O,88,F,gut *,Z,Mitte
135,Exklusive 2-Zimmer Neubauwohnung in Berlin-Mitte,https://www.immobilienscout24.de/expose/114746873,970.0,95.0,100.0,1325.0,3390.00,5,50.21,2,1.0,1.0,True,True,2016.0,,Neuwertig,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,Berliner Gesellschaft für Vermögensverwaltung mbH Cicerostr. 27 10709 Berlin,"Alte Jakobstraße 50, 10179 Berlin, Mitte (Mitte)",Alte Jakobstraße,10179 Berlin,Mitte (Mitte),50,Mitte,19.318860784704242,Alte Jakobstraße,Mitt,O,50,F,gut *,Z,Mitte
136,Gut geschnittene 3-Zimmerwohnung sucht neuen Mieter!,https://www.immobilienscout24.de/expose/115583140,949.0,220.0,90.0,1259.0,3 Nettokaltmieten,4 von 6,90.49,3,3.0,1.0,True,,1990.0,,Gepflegt,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,176.9,Trad Immobilien GmbH Lützowufer 26 10787 Berlin,"Wattstraße 4a, 13629 Berlin, Siemensstadt (Spandau)",Wattstraße,13629 Berlin,Siemensstadt (Spandau),4,Spandau,10.487346668140127,Wattstraße,Span,W,4,F,einfach *,Z,Spandau
137,Living in Berlin's most trendy and charming quarter,https://www.immobilienscout24.de/expose/114791180,700.0,50.0,0.0,750.0,EUR 150000,3,15.0,1,1.0,,,True,,,Modernisiert,Zentralheizung,,,,,homefully GmbH,"Boyenstraße 31, 10115 Berlin, Mitte (Mitte)",Boyenstraße,10115 Berlin,Mitte (Mitte),31,Mitte,46.666666666666664,Boyenstraße,Mitt,O,31,F,mittel,Z,Mitte
138,Living in Berlin's most trendy and charming quarter,https://www.immobilienscout24.de/expose/115343447,700.0,50.0,0.0,750.0,EUR 150000,5,15.0,1,1.0,,,True,,,Modernisiert,Zentralheizung,,,,,homefully GmbH,"Boyenstraße 31, 10115 Berlin, Mitte (Mitte)",Boyenstraße,10115 Berlin,Mitte (Mitte),31,Mitte,46.666666666666664,Boyenstraße,Mitt,O,31,F,mittel,Z,Mitte
139,Schöne 2-Zimmerwohnung im Altbau! Ab Sofort!,https://www.immobilienscout24.de/expose/114574362,690.0,89.0,,779.0,3 Nettokaltmieten,3 von 4,61.0,2,1.0,1.0,,,1900.0,,Gepflegt,Etagenheizung,Gas,liegt vor,Bedarfsausweis,,Trad Immobilien GmbH Lützowufer 26 10787 Berlin,"Klosterstraße 31, 13581 Berlin, Spandau (Spandau)",Klosterstraße,13581 Berlin,Spandau (Spandau),31,Spandau,11.311475409836065,Klosterstraße,Span,W,31,F,einfach *,Z,Spandau
140,Modernisierte Wohnung in ruhiger Lage bietet Platz für die ganze Familie,https://www.immobilienscout24.de/expose/114977401,799.0,170.0,110.0,1079.0,3 x Nettokaltmiete,2 von 2,84.72,3,3.0,1.0,,,1975.0,2019.0,Modernisiert,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,154.0,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Burgfrauenstraße 119a, 13465 Berlin, Hermsdorf (Reinickendorf)",Burgfrauenstraße,13465 Berlin,Hermsdorf (Reinickendorf),119,Reinickendorf,9.431067044381493,Burgfrauenstraße,Rein,W,119,U,mittel*,D,Reinickendorf
141,Modernisierte Wohnung in ruhiger Lage bietet Platz für die ganze Familie,https://www.immobilienscout24.de/expose/114977401,799.0,170.0,110.0,1079.0,3 x Nettokaltmiete,2 von 2,84.72,3,3.0,1.0,,,1975.0,2019.0,Modernisiert,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,154.0,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Burgfrauenstraße 119a, 13465 Berlin, Hermsdorf (Reinickendorf)",Burgfrauenstraße,13465 Berlin,Hermsdorf (Reinickendorf),119,Reinickendorf,9.431067044381493,Burgfrauenstraße,Rein,W,119,U,mittel,D,Reinickendorf
142,"Dachgeschosswohnung im Erstbezug in Mitte! 3 Zimmer, Aufzug, Parkett, Gästebad u.v.m.! Ab sofort!",https://www.immobilienscout24.de/expose/113743860,2149.0,140.0,125.0,2414.0,3 Nettokaltmieten,5 von 5,106.98,3,2.0,2.0,True,,1864.0,2019.0,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Trad Immobilien GmbH Lützowufer 26 10787 Berlin,"Melchiorstraße 3, 10179 Betlin, Mitte (Mitte)",Melchiorstraße,10179 Betlin,Mitte (Mitte),3,Mitte,20.087866891007664,Melchiorstraße,Mitt,O,3,F,mittel,Z,Mitte
143,"Hochwertig modernisierte 1,5-Zimmer-Wohnung unweit Virchow-Klinikum",https://www.immobilienscout24.de/expose/115560761,495.0,100.0,35.0,630.0,1485.00,0 von 4,44.92,"1,5",1.0,1.0,,True,1977.0,,Vollständig renoviert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Bardt + Bardt Hausverwaltung GmbH Goethestr. 10 b 12207 Berlin,"Ritterlandweg 3, 13409 Berlin, Reinickendorf (Reinickendorf)",Ritterlandweg,13409 Berlin,Reinickendorf (Reinickendorf),3,Reinickendorf,11.019590382902939,Ritterlandweg,Rein,W,3,G,einfach *,Z,Reinickendorf
144,"Hochwertig modernisierte 1,5-Zimmer-Wohnung unweit Virchow-Klinikum",https://www.immobilienscout24.de/expose/115560761,495.0,100.0,35.0,630.0,1485.00,0 von 4,44.92,"1,5",1.0,1.0,,True,1977.0,,Vollständig renoviert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Bardt + Bardt Hausverwaltung GmbH Goethestr. 10 b 12207 Berlin,"Ritterlandweg 3, 13409 Berlin, Reinickendorf (Reinickendorf)",Ritterlandweg,13409 Berlin,Reinickendorf (Reinickendorf),3,Reinickendorf,11.019590382902939,Ritterlandweg,Rein,W,3,U,einfach *,Z,Reinickendorf
145,Mein Wohntraum in Berlin-Mitte: 4-Zimmer mit Terrasse im Stadtpalais Varnhagen v. David Chipperfield,https://www.immobilienscout24.de/expose/106032531,3315.0,610.0,0.0,3925.0,3-fache der Netto-Kaltmiete,2,138.0,4,2.0,2.0,True,True,2016.0,2017.0,Neuwertig,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,"Bethke Immobilien GmbH Karlsruher Str. 4 10711 Berlin, Wilmersdorf","Französische Straße 56-60, 10117 Berlin, Mitte (Mitte)",Französische Straße,10117 Berlin,Mitte (Mitte),56,Mitte,24.02173913043478,Französische Straße,Mitt,O,56,F,gut *,Z,Mitte
146,Erstbezug! Komplett möbliert & voll ausgestattet nahe Gendarmenmarkt im Stadtpalais von Chipperfield,https://www.immobilienscout24.de/expose/111438502,1420.0,320.0,0.0,1740.0,3-fache der Netto-Kaltmiete,3,58.0,2,1.0,1.0,True,True,2016.0,2017.0,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,"Bethke Immobilien GmbH Karlsruher Str. 4 10711 Berlin, Wilmersdorf","Französische Straße 56-60, 10117 Berlin, Mitte (Mitte)",Französische Straße,10117 Berlin,Mitte (Mitte),56,Mitte,24.482758620689655,Französische Straße,Mitt,O,56,F,gut *,Z,Mitte
147,Umfassend modernisierte Wohnung mit EInbauküche und Balkon,https://www.immobilienscout24.de/expose/115451318,1500.0,80.0,70.0,1650.0,4500,1 von 6,50.96,2,,,True,True,1959.0,,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Weinbergsweg 6, 10119 Berlin, Mitte (Mitte)",Weinbergsweg,10119 Berlin,Mitte (Mitte),6,Mitte,29.43485086342229,Weinbergsweg,Mitt,O,6,F,gut,Z,Mitte
148,Umfassend modernisierte 2 Zimmerwohnung mit Einbauküche,https://www.immobilienscout24.de/expose/115451263,1450.0,79.0,71.0,1600.0,4350,1 von 6,50.31,2,,,True,True,1959.0,,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Weinbergsweg 12, 10119 Berlin, Mitte (Mitte)",Weinbergsweg,10119 Berlin,Mitte (Mitte),12,Mitte,28.82130789107533,Weinbergsweg,Mitt,O,12,F,gut,Z,Mitte
149,2-Zimmerwohnung in Lichtenberg,https://www.immobilienscout24.de/expose/108058765,763.96,100.36,60.68,925.0,229188,1 von 5,56.38,2,,,,True,1900.0,,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Egmontstraße 4 a, 10317 Berlin, Lichtenberg (Lichtenberg)",Egmontstraße,10317 Berlin,Lichtenberg (Lichtenberg),4,Lichtenberg,13.550195104647038,Egmontstraße,Lich,O,4,F,mittel,D,Lichtenberg
150,2-Zimmerwohnung in Lichtenberg,https://www.immobilienscout24.de/expose/108058765,763.96,100.36,60.68,925.0,229188,1 von 5,56.38,2,,,,True,1900.0,,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Egmontstraße 4 a, 10317 Berlin, Lichtenberg (Lichtenberg)",Egmontstraße,10317 Berlin,Lichtenberg (Lichtenberg),4,Lichtenberg,13.550195104647038,Egmontstraße,Lich,O,4,F,mittel*,D,Lichtenberg
151,"Neu im Angebot 2 Zimmer, hell, ,EBK-WB-Balkon-Lift-Laminat,Sofortbezug !",https://www.immobilienscout24.de/expose/115563270,616.5,114.0,0.0,730.5,1849.50,1 von 4,49.32,2,1.0,1.0,True,True,1998.0,2016.0,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,95.6,IVBWEISS Immobilien Charlottenburger Straße 134a 13086 Berlin,"Breitkopfstraße 71, 13409 Berlin, Reinickendorf (Reinickendorf)",Breitkopfstraße,13409 Berlin,Reinickendorf (Reinickendorf),71,Reinickendorf,12.5,Breitkopfstraße,Rein,W,71,G,einfach,Z,Reinickendorf
152,"Neu im Angebot 2 Zimmer, hell, ,EBK-WB-Balkon-Lift-Laminat,Sofortbezug !",https://www.immobilienscout24.de/expose/115563270,616.5,114.0,0.0,730.5,1849.50,1 von 4,49.32,2,1.0,1.0,True,True,1998.0,2016.0,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,95.6,IVBWEISS Immobilien Charlottenburger Straße 134a 13086 Berlin,"Breitkopfstraße 71, 13409 Berlin, Reinickendorf (Reinickendorf)",Breitkopfstraße,13409 Berlin,Reinickendorf (Reinickendorf),71,Reinickendorf,12.5,Breitkopfstraße,Rein,W,71,U,einfach,Z,Reinickendorf
